eth_src,eth_dst,eth_type,ip_version,ip_ihl,ip_tos,ip_len,ip_id,ip_flags,ip_frag,ip_ttl,ip_proto,ip_chksum,ip_src,ip_dst,ip_options,tcp_sport,tcp_dport,tcp_seq,tcp_ack,tcp_dataofs,tcp_reserved,tcp_flags,tcp_window,tcp_chksum,tcp_urgptr,tcp_options,tcp_flag_fin,tcp_flag_syn,tcp_flag_rst,tcp_flag_psh,tcp_flag_ack,tcp_flag_urg,tcp_flag_ece,tcp_flag_cwr,tcp_flag_ns,udp_sport,udp_dport,udp_len,udp_chksum,icmp_type,icmp_code,icmp_chksum,icmp_id,icmp_seq,arp_hwtype,arp_ptype,arp_hwlen,arp_plen,arp_op,arp_hwsrc,arp_psrc,arp_hwdst,arp_pdst,dns_id,dns_qr,dns_opcode,dns_aa,dns_tc,dns_rd,dns_ra,dns_z,dns_ad,dns_cd,dns_rcode,dns_qdcount,dns_ancount,dns_nscount,dns_arcount,dns_qname,dns_qtype,dns_qclass,dns_rrname,dns_rrtype,dns_rrclass,dns_rrttl,dns_rdata,http_method,http_host,http_path,http_user_agent,http_accept,http_accept_language,http_accept_encoding,http_connection,http_status_code,http_server,http_content_type,raw_load,time,Label
00:1c:42:44:28:45,00:1c:42:00:00:18,2048,4.0,5.0,0.0,60.0,29242.0,DF,0.0,64.0,6.0,50430.0,10.211.55.5,192.168.1.3,[],52080.0,80.0,1640222985.0,0.0,10.0,0.0,S,32120.0,40978.0,0.0,"[('MSS', 1460), ('SAckOK', b''), ('Timestamp', (659095835, 0)), ('NOP', None), ('WScale', 7)]",,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1717026066.269718,Ddos
00:1c:42:00:00:18,00:1c:42:44:28:45,2048,4.0,5.0,0.0,48.0,20011.0,,0.0,128.0,6.0,59673.0,192.168.1.3,10.211.55.5,[],80.0,52080.0,657471136.0,1640222986.0,7.0,0.0,SA,32768.0,42027.0,0.0,"[('MSS', 1460), ('WScale', 1), ('NOP', None)]",,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1717026066.272772,Ddos
00:1c:42:44:28:45,00:1c:42:00:00:18,2048,4.0,5.0,0.0,40.0,29243.0,DF,0.0,64.0,6.0,50449.0,10.211.55.5,192.168.1.3,[],52080.0,80.0,1640222986.0,657471137.0,5.0,0.0,A,251.0,20214.0,0.0,[],,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1717026066.272986,Ddos
00:1c:42:44:28:45,00:1c:42:00:00:18,2048,4.0,5.0,0.0,183.0,29244.0,DF,0.0,64.0,6.0,50305.0,10.211.55.5,192.168.1.3,[],52080.0,80.0,1640222986.0,657471137.0,5.0,0.0,PA,251.0,23095.0,0.0,[],,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GET,192.168.1.3,/,python-httpx/0.26.0,*/*,,"gzip, deflate, br",keep-alive,,,,,1717026066.273188,Ddos
00:1c:42:00:00:18,00:1c:42:44:28:45,2048,4.0,5.0,0.0,40.0,20012.0,,0.0,128.0,6.0,59680.0,192.168.1.3,10.211.55.5,[],80.0,52080.0,657471137.0,1640223129.0,5.0,0.0,A,16384.0,3938.0,0.0,[],,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1717026066.273239,Ddos
00:1c:42:00:00:18,00:1c:42:44:28:45,2048,4.0,5.0,0.0,1109.0,20013.0,,0.0,128.0,6.0,58610.0,192.168.1.3,10.211.55.5,[],80.0,52080.0,657471137.0,1640223129.0,5.0,0.0,PA,16384.0,115.0,0.0,[],,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.0,Apache/2.4.53 (Unix) OpenSSL/1.1.1o PHP/8.1.6 mod_perl/2.0.12 Perl/v5.34.1,text/html,"<!DOCTYPE html>
<html>
	<head>
		<meta charset=""utf-8"">
		<title>Login</title>
		<link rel=""stylesheet"" href=""https://use.fontawesome.com/releases/v5.7.1/css/all.css"">
		<link href=""style.css"" rel=""stylesheet"" type=""text/css"">
	</head>
	<body>
		<div class=""login"">
			<h1>Login</h1>
			<form action=""authenticate.php"" method=""post"">
				<label for=""username"">
					<i class=""fas fa-user""></i>
				</label>
				<input type=""text"" name=""username"" placeholder=""Username"" id=""username"" required>
				<label for=""password"">
					<i class=""fas fa-lock""></i>
				</label>
				<input type=""password"" name=""password"" placeholder=""Password"" id=""password"" required>
				<input type=""submit"" value=""Login"">
			</form>
		</div>
	</body>
</html>",1717026066.273769,Ddos
00:1c:42:44:28:45,00:1c:42:00:00:18,2048,4.0,5.0,0.0,40.0,29245.0,DF,0.0,64.0,6.0,50447.0,10.211.55.5,192.168.1.3,[],52080.0,80.0,1640223129.0,657472206.0,5.0,0.0,A,249.0,19004.0,0.0,[],,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1717026066.273891,Ddos
00:1c:42:44:28:45,00:1c:42:00:00:18,2048,4.0,5.0,0.0,40.0,29246.0,DF,0.0,64.0,6.0,50446.0,10.211.55.5,192.168.1.3,[],52080.0,80.0,1640223129.0,657472206.0,5.0,0.0,FA,249.0,19003.0,0.0,[],F,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1717026066.274487,Ddos
00:1c:42:00:00:18,00:1c:42:44:28:45,2048,4.0,5.0,0.0,40.0,20014.0,,0.0,128.0,6.0,59678.0,192.168.1.3,10.211.55.5,[],80.0,52080.0,657472206.0,1640223130.0,5.0,0.0,A,16384.0,2868.0,0.0,[],,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1717026066.274545,Ddos
00:1c:42:00:00:18,00:1c:42:44:28:45,2048,4.0,5.0,0.0,40.0,20015.0,,0.0,128.0,6.0,59677.0,192.168.1.3,10.211.55.5,[],80.0,52080.0,657472206.0,1640223130.0,5.0,0.0,FA,16384.0,2867.0,0.0,[],F,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1717026066.274736,Ddos
